epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
109,12750,0.48172,0.25611,0.00667,0.97995,0.98607,0.99133,0.96985,0.25278,0.12129,0.00529,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
110,12866.5,0.48889,0.26276,0.00668,0.97906,0.98684,0.99163,0.97046,0.25235,0.12086,0.00529,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045,0.0138135,0.0046045
111,12982.9,0.47705,0.25647,0.00654,0.9797,0.98778,0.99149,0.97059,0.2487,0.12024,0.00519,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
112,13098.4,0.47761,0.25448,0.00655,0.9795,0.9872,0.99136,0.97113,0.24793,0.11804,0.00518,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055,0.0135165,0.0045055
113,13214.8,0.47817,0.256,0.00653,0.98012,0.98814,0.99141,0.97119,0.24611,0.11653,0.00515,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
114,13331.6,0.47386,0.25545,0.00643,0.98072,0.98883,0.99145,0.97134,0.2439,0.11665,0.0051,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065,0.0132195,0.0044065
115,13446.8,0.47043,0.25275,0.00639,0.98313,0.98625,0.99155,0.97174,0.24193,0.11413,0.00506,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
116,13563.3,0.47291,0.25104,0.00648,0.98239,0.98807,0.99164,0.97247,0.24118,0.11352,0.00503,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
117,13679.8,0.46795,0.24216,0.00641,0.98304,0.988,0.99138,0.97192,0.24033,0.11373,0.00502,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
118,13794.8,0.4643,0.24679,0.00627,0.98152,0.98806,0.99128,0.97231,0.23909,0.1148,0.00501,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085,0.0126255,0.0042085
119,13910.3,0.45923,0.24778,0.00627,0.9817,0.98789,0.99131,0.97298,0.23782,0.11411,0.00498,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
120,14027.4,0.46388,0.25545,0.00633,0.97918,0.98923,0.99163,0.97404,0.23813,0.11617,0.00498,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095,0.0123285,0.0041095
121,14142.7,0.45763,0.24938,0.00635,0.98034,0.98841,0.99159,0.97392,0.2372,0.11691,0.00495,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
122,14259.2,0.45787,0.24465,0.00621,0.98063,0.9884,0.99172,0.9739,0.23681,0.11683,0.00493,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105,0.0120315,0.0040105
123,14376,0.45016,0.22428,0.00606,0.98708,0.98037,0.99164,0.9736,0.23669,0.11793,0.00493,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
124,14492,0.45369,0.24482,0.0062,0.98495,0.98381,0.99194,0.97393,0.23626,0.11535,0.00492,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115,0.0117345,0.0039115
125,14607.6,0.4457,0.23365,0.00611,0.98496,0.98366,0.99188,0.97411,0.23573,0.11446,0.00489,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,14725.1,0.45039,0.23239,0.00612,0.9815,0.98822,0.99188,0.97452,0.23357,0.11288,0.00485,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,14840.6,0.44894,0.24383,0.00617,0.98852,0.98108,0.99197,0.97472,0.23257,0.11242,0.00484,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,14956.6,0.44435,0.24698,0.00611,0.98967,0.97937,0.9921,0.97472,0.23194,0.11705,0.00483,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,15073.9,0.43923,0.23872,0.00599,0.98873,0.97977,0.99233,0.97531,0.23073,0.11339,0.00481,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,15190,0.43615,0.24216,0.00586,0.99069,0.98097,0.9925,0.97614,0.22828,0.11123,0.00475,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,15305.6,0.43378,0.23084,0.00583,0.99085,0.97964,0.99244,0.9765,0.22735,0.11125,0.00473,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
