epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
103,6707.61,0.49848,0.3736,0.01011,0.92341,0.91955,0.95335,0.87702,0.43103,0.28776,0.01399,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,6770.51,0.50213,0.37258,0.01004,0.92221,0.92142,0.95488,0.87566,0.43622,0.28451,0.01425,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,6835.96,0.51364,0.37829,0.01034,0.91386,0.9205,0.94608,0.86933,0.43571,0.29464,0.01422,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,6899.09,0.50898,0.37572,0.01031,0.91371,0.92821,0.95338,0.87374,0.43686,0.29362,0.01423,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,6963.05,0.50019,0.37662,0.01007,0.91487,0.92056,0.95059,0.8747,0.42799,0.2895,0.01393,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,7028.29,0.50608,0.38365,0.01011,0.90386,0.92647,0.94887,0.87453,0.42637,0.2896,0.01383,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,7093.95,0.50192,0.37217,0.01007,0.91819,0.91836,0.95035,0.87535,0.42189,0.28611,0.01372,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,7160.61,0.49789,0.37659,0.00999,0.93001,0.91214,0.94969,0.87518,0.42295,0.28561,0.01381,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,7225.86,0.4935,0.37124,0.00988,0.91703,0.92549,0.95392,0.8782,0.42082,0.28256,0.01368,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,7290.71,0.49042,0.36512,0.00982,0.93762,0.91487,0.95565,0.88079,0.41516,0.27705,0.01347,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,7354.13,0.49059,0.3691,0.00985,0.92033,0.92757,0.95573,0.88057,0.42199,0.27021,0.01367,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
